company_id,company_name,year,year_numeric,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,dividend_payout_ratio_pct,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,sales,net_profit,dividend_payout,broad_sector
JINDALSTEL,Jindal Steel & Power Ltd,Mar 2024,2024,13.41,12.14,11.8,20.0,0.3717,8.0046,0.64,-2336.0,1.4,,,27.06,3.0,396587.97,77.64,5.73,1.9,50354,5943,3.0,Materials
SIEMENS,Siemens Ltd,Sep 2024,2024,17.7,17.74,12.22,14.0,0.0182,67.15,0.8791,1168.0,11.19,19.85,19.64,54.74,16.0,1191331.95,33.32,9.25,3.69,22240,2718,16.0,Industrials
JIOFIN,Jio Financial Services Ltd,Mar 2024,2024,1.15,1.1,86.52,84.0,0.0,198.8,0.0128,763.0,,,,45.62,0.0,1401774.99,34.24,9.91,3.09,1855,1605,0.0,Financials
JSWSTEEL,JSW Steel Ltd,Mar 2024,2024,11.55,12.06,5.13,16.0,1.1328,3.6591,0.7679,-2389.0,15.6,3.59,2.38,20.48,25.0,2612646.38,69.27,4.37,2.94,175006,8973,25.0,Materials
JSWENERGY,JSW Energy Ltd,Mar 2024,2024,8.28,7.15,15.02,47.0,1.5156,2.8514,0.1988,-1963.0,4.68,20.32,20.11,18.27,19.0,110870.53,24.79,9.88,1.25,11486,1725,19.0,Energy
HDFCLIFE,HDFC Life Insurance Company Ltd,Mar 2024,2024,10.73,645.95,1.55,531.0,0.0648,192.2895,0.3353,-2893.0,21.17,4.25,3.13,48.22,27.0,47027.6,50.59,11.28,3.22,101482,1574,27.0,Financials
HEROMOTOCO,"Hero MotoCorp Ltd
",Mar 2024,2024,21.14,173.71,9.9,5235.0,0.0342,47.2685,1.4449,3095.0,2.15,1.54,1.69,76.34,75.0,1593400.88,53.86,12.6,1.91,37789,3742,75.0,Consumer Discretionary
HINDUNILVR,"Hindustan Unilever Ltd
",Mar 2024,2024,20.07,87.32,16.61,14659.0,0.029,57.847,0.7886,10145.0,9.5,11.15,9.46,72.85,96.0,548890.59,34.51,11.88,4.32,61896,10282,96.0,Consumer Staples
HINDALCO,Hindalco Industries Ltd,Mar 2024,2024,9.569999999999999,113.58,4.7,23872.0,0.5309,126.4654,0.936,9789.0,10.59,13.07,13.4,72.87,8.0,722281.1,56.45,9.32,0.98,215962,10155,8.0,Materials
ICICIGI,ICICI Lombard General Insurance Company Ltd,Mar 2024,2024,15.72,145.23,9.370000000000001,2577.0,0.0029,160.0268,0.3236,486.0,12.91,12.84,11.14,74.72,28.0,1271789.21,49.0,7.86,3.46,20487,1919,28.0,Financials
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Mar 2024,2024,15.09,15.63,19.82,28.0,0.0514,58.3319,0.5685,11372.0,10.78,24.54,29.46,53.43,34.0,1339586.09,37.9,6.71,3.88,48497,9610,34.0,Healthcare
LICI,Life Insurance Corporation of India,Mar 2024,2024,49.45,39.05,4.84,4.0,0.0,371.9375,0.1591,853.0,8.16,73.18,,69.6,15.0,183583.67,30.67,8.1,3.77,845966,40916,15.0,Financials
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Mar 2024,2024,14.01,7.11,32.39,-13382.0,4.0037,1.2364,0.0733,6766.0,13.52,20.38,19.34,38.98,2.0,430223.52,32.9,1.15,1.51,56237,18213,2.0,Financials
MARUTI,Maruti Suzuki India Ltd,Mar 2024,2024,15.75,15.59,9.51,13.0,0.0014,117.9072,1.2303,4936.0,10.51,12.01,11.14,53.62,29.0,1503863.63,20.78,8.26,1.78,141858,13488,29.0,Consumer Discretionary
