company_id,feature,imputation_method,imputed_value
ATGL,return_on_equity_pct,sector_median,13.23
SBIN,return_on_equity_pct,sector_median,15.74
ATGL,debt_to_equity,sector_median,0.8413
SBIN,debt_to_equity,sector_median,4.3965499999999995
ATGL,revenue_cagr_5yr,sector_median,9.61
JIOFIN,revenue_cagr_5yr,sector_median,17.48
SBIN,revenue_cagr_5yr,sector_median,17.48
ADANIENSOL,fcf_cagr_5yr,sector_median,12.690000000000001
ADANIENT,fcf_cagr_5yr,sector_median,32.355000000000004
ADANIGREEN,fcf_cagr_5yr,sector_median,12.690000000000001
AMBUJACEM,fcf_cagr_5yr,sector_median,9.99
ATGL,fcf_cagr_5yr,sector_median,12.690000000000001
AXISBANK,fcf_cagr_5yr,sector_median,-7.36
BAJAJFINSV,fcf_cagr_5yr,sector_median,-7.36
BAJFINANCE,fcf_cagr_5yr,sector_median,-7.36
BANKBARODA,fcf_cagr_5yr,sector_median,-7.36
BEL,fcf_cagr_5yr,sector_median,32.355000000000004
BHARTIARTL,fcf_cagr_5yr,global_median,10.03
BHEL,fcf_cagr_5yr,sector_median,32.355000000000004
BPCL,fcf_cagr_5yr,sector_median,12.690000000000001
CHOLAFIN,fcf_cagr_5yr,sector_median,-7.36
DMART,fcf_cagr_5yr,sector_median,10.03
GODREJCP,fcf_cagr_5yr,sector_median,8.96
GRASIM,fcf_cagr_5yr,sector_median,32.355000000000004
HAL,fcf_cagr_5yr,sector_median,32.355000000000004
HDFCBANK,fcf_cagr_5yr,sector_median,-7.36
HDFCLIFE,fcf_cagr_5yr,sector_median,-7.36
INDUSINDBK,fcf_cagr_5yr,sector_median,-7.36
IOC,fcf_cagr_5yr,sector_median,12.690000000000001
IRFC,fcf_cagr_5yr,sector_median,-7.36
JINDALSTEL,fcf_cagr_5yr,sector_median,9.99
JIOFIN,fcf_cagr_5yr,sector_median,-7.36
JSWENERGY,fcf_cagr_5yr,sector_median,12.690000000000001
JSWSTEEL,fcf_cagr_5yr,sector_median,9.99
KOTAKBANK,fcf_cagr_5yr,sector_median,-7.36
LODHA,fcf_cagr_5yr,sector_median,-13.17
LT,fcf_cagr_5yr,sector_median,32.355000000000004
M&M,fcf_cagr_5yr,sector_median,10.03
NAUKRI,fcf_cagr_5yr,global_median,10.03
NTPC,fcf_cagr_5yr,sector_median,12.690000000000001
PFC,fcf_cagr_5yr,sector_median,-7.36
PNB,fcf_cagr_5yr,sector_median,-7.36
RECLTD,fcf_cagr_5yr,sector_median,-7.36
RELIANCE,fcf_cagr_5yr,sector_median,12.690000000000001
SBILIFE,fcf_cagr_5yr,sector_median,-7.36
SHRIRAMFIN,fcf_cagr_5yr,sector_median,-7.36
TATAMOTORS,fcf_cagr_5yr,sector_median,10.03
TATASTEEL,fcf_cagr_5yr,sector_median,9.99
TRENT,fcf_cagr_5yr,sector_median,10.03
TVSMOTOR,fcf_cagr_5yr,sector_median,10.03
ATGL,operating_profit_margin_pct,sector_median,29.0
PNB,operating_profit_margin_pct,sector_median,84.0
SBIN,operating_profit_margin_pct,sector_median,84.0
