,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,revenue_cagr_5yr,pat_cagr_5yr
return_on_equity_pct,1.0,0.7500240192903775,0.0029466377993518688,0.015208674060125741,-0.07009842210320673,0.07546672647761261,0.9551374951135025,0.003604546356343971,-0.047814991208306366,0.08797044294124218
return_on_capital_employed_pct,0.7500240192903775,1.0,-0.023548668662890536,0.1470922008500365,-0.11232275497485879,0.033728930555142346,0.873575177579555,0.03334154000002369,0.03701302476826939,0.37927805284832605
net_profit_margin_pct,0.0029466377993518688,-0.023548668662890536,1.0,-0.01563410712625405,-0.0243421995319037,0.7861221273555434,-0.011779322624647443,-0.02498988220197021,0.2581490914771336,0.008650550692656524
operating_profit_margin_pct,0.015208674060125741,0.1470922008500365,-0.01563410712625405,1.0,-0.1856365580790646,0.13508105651421287,0.05996064243458357,-0.16202704076103838,-0.09703503519121913,0.044133876702561955
debt_to_equity,-0.07009842210320673,-0.11232275497485879,-0.0243421995319037,-0.1856365580790646,1.0,-0.06499460175661828,-0.09548612704594076,-0.35391304960778325,0.314246714931739,0.4086487133634108
interest_coverage,0.07546672647761261,0.033728930555142346,0.7861221273555434,0.13508105651421287,-0.06499460175661828,1.0,0.0625220635102534,-0.19458161420971987,0.29639551353794075,0.01827910972012702
asset_turnover,0.9551374951135025,0.873575177579555,-0.011779322624647443,0.05996064243458357,-0.09548612704594076,0.0625220635102534,1.0,0.0240512802202817,-0.02345763697424785,0.1932178047894156
free_cash_flow_cr,0.003604546356343971,0.03334154000002369,-0.02498988220197021,-0.16202704076103838,-0.35391304960778325,-0.19458161420971987,0.0240512802202817,1.0,-0.21336666242241606,-0.05260781148814464
revenue_cagr_5yr,-0.047814991208306366,0.03701302476826939,0.2581490914771336,-0.09703503519121913,0.314246714931739,0.29639551353794075,-0.02345763697424785,-0.21336666242241606,1.0,0.36273535942729135
pat_cagr_5yr,0.08797044294124218,0.37927805284832605,0.008650550692656524,0.044133876702561955,0.4086487133634108,0.01827910972012702,0.1932178047894156,-0.05260781148814464,0.36273535942729135,1.0
