company_id,metric,imputation_method,imputed_value,pipeline_section
ATGL,return_on_equity_pct,sector_median,13.23,cluster_features
SBIN,return_on_equity_pct,sector_median,15.74,cluster_features
ATGL,debt_to_equity,sector_median,0.8413,cluster_features
SBIN,debt_to_equity,sector_median,4.3965499999999995,cluster_features
ATGL,revenue_cagr_5yr,sector_median,9.61,cluster_features
JIOFIN,revenue_cagr_5yr,sector_median,17.48,cluster_features
SBIN,revenue_cagr_5yr,sector_median,17.48,cluster_features
ADANIENSOL,fcf_cagr_5yr,sector_median,12.690000000000001,cluster_features
ADANIENT,fcf_cagr_5yr,sector_median,32.355000000000004,cluster_features
ADANIGREEN,fcf_cagr_5yr,sector_median,12.690000000000001,cluster_features
AMBUJACEM,fcf_cagr_5yr,sector_median,9.99,cluster_features
ATGL,fcf_cagr_5yr,sector_median,12.690000000000001,cluster_features
AXISBANK,fcf_cagr_5yr,sector_median,-7.36,cluster_features
BAJAJFINSV,fcf_cagr_5yr,sector_median,-7.36,cluster_features
BAJFINANCE,fcf_cagr_5yr,sector_median,-7.36,cluster_features
BANKBARODA,fcf_cagr_5yr,sector_median,-7.36,cluster_features
BEL,fcf_cagr_5yr,sector_median,32.355000000000004,cluster_features
BHARTIARTL,fcf_cagr_5yr,global_median,10.03,cluster_features
BHEL,fcf_cagr_5yr,sector_median,32.355000000000004,cluster_features
BPCL,fcf_cagr_5yr,sector_median,12.690000000000001,cluster_features
CHOLAFIN,fcf_cagr_5yr,sector_median,-7.36,cluster_features
DMART,fcf_cagr_5yr,sector_median,10.03,cluster_features
GODREJCP,fcf_cagr_5yr,sector_median,8.96,cluster_features
GRASIM,fcf_cagr_5yr,sector_median,32.355000000000004,cluster_features
HAL,fcf_cagr_5yr,sector_median,32.355000000000004,cluster_features
HDFCBANK,fcf_cagr_5yr,sector_median,-7.36,cluster_features
HDFCLIFE,fcf_cagr_5yr,sector_median,-7.36,cluster_features
INDUSINDBK,fcf_cagr_5yr,sector_median,-7.36,cluster_features
IOC,fcf_cagr_5yr,sector_median,12.690000000000001,cluster_features
IRFC,fcf_cagr_5yr,sector_median,-7.36,cluster_features
JINDALSTEL,fcf_cagr_5yr,sector_median,9.99,cluster_features
JIOFIN,fcf_cagr_5yr,sector_median,-7.36,cluster_features
JSWENERGY,fcf_cagr_5yr,sector_median,12.690000000000001,cluster_features
JSWSTEEL,fcf_cagr_5yr,sector_median,9.99,cluster_features
KOTAKBANK,fcf_cagr_5yr,sector_median,-7.36,cluster_features
LODHA,fcf_cagr_5yr,sector_median,-13.17,cluster_features
LT,fcf_cagr_5yr,sector_median,32.355000000000004,cluster_features
M&M,fcf_cagr_5yr,sector_median,10.03,cluster_features
NAUKRI,fcf_cagr_5yr,global_median,10.03,cluster_features
