number,deliverable,status,source_path,archive_path,sha256
1,01 Working SQLite database,PASS,nifty100.db,output\final_deliverables\01_nifty100.db,15316cb53b8537009b42fb8ea0f4b47cf7107cae9cd6302842a41c0c8921f0a2
2,02 Project README,PASS,README.md,output\final_deliverables\02_README.md,77eb7dc92a819b3aa64c9106f79855315381d468983bba45f3d645e5c558726d
3,03 ETL load audit,PASS,output\load_audit.csv,output\final_deliverables\03_load_audit.csv,41d2cf0bff7889133b03e6a8a3f4d0667f3ac671bf03256b5ff6d25e3d7adb3e
4,04 Validation failures,PASS,output\validation_failures.csv,output\final_deliverables\04_validation_failures.csv,63173c4eb69531eb5fae9109fb889c3828175d234a713ffa86ad453b8418b2fd
5,05 Valuation summary,PASS,output\valuation_summary.xlsx,output\final_deliverables\05_valuation_summary.xlsx,55126cb0d4fc96e24ac3b795c710387175ef4169bb234c3d8e8ff3e70e08a7c7
6,06 Valuation flags,PASS,output\valuation_flags.csv,output\final_deliverables\06_valuation_flags.csv,adbd097783182837270335e7a21c41e0fced7f0a968bfc23a1309251966d349d
7,07 Generated pros and cons,PASS,output\pros_cons_generated.csv,output\final_deliverables\07_pros_cons_generated.csv,7b8145572aa0561dfa9094147640f5f6a640bae791e5f937eed57f3bb79465fc
8,08 Cash-flow intelligence,PASS,output\cashflow_intelligence.csv,output\final_deliverables\08_cashflow_intelligence.csv,8b270abf22711712258533a72b3ff65fa564859dfe3366a6d6d88055d962f258
9,09 Capital allocation output,PASS,output\capital_allocation.csv,output\final_deliverables\09_capital_allocation.csv,91b1b2d1f3ffda2fa40c05f1f713ac9a0f7aa9c74b6f9bf7e05e70dbf76ca110
10,10 Cluster labels,PASS,output\cluster_labels.csv,output\final_deliverables\10_cluster_labels.csv,83f4d27026dc4a0d5a92cb196e0222be13ed5dbe923f284a657a5d425bf166c0
11,11 Cluster profiles,PASS,output\cluster_profiles.csv,output\final_deliverables\11_cluster_profiles.csv,5e9bb3642bb45bd8bfc85e4242e082c85ac45d354e10ece01d6e1463570f7c2e
12,12 Outlier report,PASS,output\outlier_report.csv,output\final_deliverables\12_outlier_report.csv,ecaf8b582a0d5db2c46a122d48263a7bfbfcae510f6f353311a9dcfad812baab
13,13 Portfolio statistics,PASS,output\portfolio_stats.csv,output\final_deliverables\13_portfolio_stats.csv,ab568403714d3e707cc315bc676a785a9a006e1671217a6a85959ee6629b9395
14,14 KMeans elbow plot,PASS,reports\elbow_plot.png,output\final_deliverables\14_elbow_plot.png,c2b6206aaa5dcdd8377e68ee22b99ac7d9f829d00030bd62cf1c827bca09f93f
15,15 Correlation heatmap,PASS,reports\correlation_heatmap.png,output\final_deliverables\15_correlation_heatmap.png,239aa83fd1fdbbd8e29d06a68ab43e92dffca99dac41c3b30dfce90673a05f1f
16,16 Company tearsheets,PASS,reports\tearsheets,output\final_deliverables\16_tearsheets,DIRECTORY
17,17 Sector PDF reports,PASS,reports\sectors,output\final_deliverables\17_sectors,DIRECTORY
18,18 Portfolio summary PDF,PASS,reports\portfolio\portfolio_summary.pdf,output\final_deliverables\18_portfolio_summary.pdf,529b0aa75c40bf2b634831c17df963bbc356f9a4408473a03dc2bb30dab9b85f
19,19 FastAPI source,PASS,src\api,output\final_deliverables\19_api,DIRECTORY
20,20 OpenAPI specification,PASS,docs\openapi.json,output\final_deliverables\20_openapi.json,7a9f5e98a6a59a5ae99fcc2022a60a4f1c5ce6f12664f19af1c84c6408fe0f0d
21,21 Postman collection,PASS,docs\nifty100_api.postman_collection.json,output\final_deliverables\21_nifty100_api.postman_collection.json,150d9d7c3b0e104ed58ee18cd4a815ba2688137bf7db0291b0c71c03bdf2cfb8
22,22 Pytest HTML report,PASS,reports\pytest_report.html,output\final_deliverables\22_pytest_report.html,639df0c7aeafbd1ee104a4e4752fbc92608e0f9cf6ecbec34df98175ef118609
23,23 Analyst guide,PASS,docs\analyst_guide.pdf,output\final_deliverables\23_analyst_guide.pdf,6bcfb40d9c8f1a485de88c8d86a690c09da97bfe13da6cf3404028b9b0e6b16a
