metric,metric_label,company_count,p10,p25,p50,p75,p90,mean,std
return_on_equity_pct,ROE,92,8.386,11.73,15.795,25.9275,47.969,122.662391,633.744738
return_on_capital_employed_pct,ROCE,92,3.48,7.225,13.25,27.09,112.039,159.310978,689.112317
net_profit_margin_pct,Net Profit Margin,92,4.619,7.245,14.12,20.3475,29.244,20.00375,45.190975
operating_profit_margin_pct,Operating Profit Margin,92,9.0,14.0,24.5,50.5,3989.6,884.826087,8375.004682
debt_to_equity,Debt to Equity,92,0.00898,0.06145,0.44755,1.644325,6.44353,1.702897,2.859764
interest_coverage,Interest Coverage,92,1.69347,3.04475,11.29945,57.968225,190.50222,124.765697,483.439889
asset_turnover,Asset Turnover,92,0.07464,0.20375,0.62095,1.13195,1.65224,3.464754,15.7647
free_cash_flow_cr,Free Cash Flow,92,-14435.1,-1514.5,1068.5,8348.5,20412.2,757.641304,23072.124826
revenue_cagr_5yr,Revenue CAGR 5Y,92,5.901,8.46,12.03,17.3075,20.963,12.93837,7.330383
pat_cagr_5yr,PAT CAGR 5Y,92,4.867,10.0675,15.51,23.31875,35.576,19.740435,19.655074
