ADANIENSOL | Mar 2019 | PAT CAGR | ZERO_BASE
ADANIENSOL | Mar 2020 | PAT CAGR | TURNAROUND
ADANIGREEN | Mar 2022 | PAT CAGR | TURNAROUND
ADANIGREEN | Mar 2023 | PAT CAGR | TURNAROUND
ADANIGREEN | Mar 2024 | PAT CAGR | TURNAROUND
ADANIPOWER | Mar 2018 | PAT CAGR | BOTH_NEGATIVE
ADANIPOWER | Mar 2019 | PAT CAGR | BOTH_NEGATIVE
ADANIPOWER | Mar 2020 | PAT CAGR | BOTH_NEGATIVE
ADANIPOWER | Mar 2022 | PAT CAGR | TURNAROUND
ADANIPOWER | Mar 2023 | PAT CAGR | TURNAROUND
ADANIPOWER | Mar 2024 | PAT CAGR | TURNAROUND
BANKBARODA | Mar 2018 | PAT CAGR | DECLINE_TO_LOSS
BANKBARODA | Mar 2021 | PAT CAGR | TURNAROUND
BANKBARODA | Mar 2023 | PAT CAGR | TURNAROUND
BHARTIARTL | Mar 2020 | PAT CAGR | DECLINE_TO_LOSS
BHARTIARTL | Mar 2021 | PAT CAGR | DECLINE_TO_LOSS
BHEL | Mar 2020 | PAT CAGR | DECLINE_TO_LOSS
BHEL | Mar 2021 | PAT CAGR | BOTH_NEGATIVE
CANBK | Mar 2018 | PAT CAGR | DECLINE_TO_LOSS
CANBK | Mar 2020 | PAT CAGR | DECLINE_TO_LOSS
CANBK | Mar 2021 | PAT CAGR | TURNAROUND
CANBK | Mar 2023 | PAT CAGR | TURNAROUND
DLF | Mar 2020 | PAT CAGR | DECLINE_TO_LOSS
GODREJCP | Mar 2024 | PAT CAGR | DECLINE_TO_LOSS
HINDALCO | Mar 2021 | PAT CAGR | TURNAROUND
IOC | Mar 2020 | PAT CAGR | DECLINE_TO_LOSS
JINDALSTEL | Mar 2018 | PAT CAGR | DECLINE_TO_LOSS
JINDALSTEL | Mar 2019 | PAT CAGR | DECLINE_TO_LOSS
JINDALSTEL | Mar 2020 | PAT CAGR | BOTH_NEGATIVE
JINDALSTEL | Mar 2021 | PAT CAGR | TURNAROUND
JINDALSTEL | Mar 2022 | PAT CAGR | TURNAROUND
JINDALSTEL | Mar 2023 | PAT CAGR | TURNAROUND
JINDALSTEL | Mar 2024 | PAT CAGR | TURNAROUND
JSWSTEEL | Mar 2021 | PAT CAGR | TURNAROUND
M&M | Mar 2020 | PAT CAGR | DECLINE_TO_LOSS
NAUKRI | Mar 2020 | PAT CAGR | BOTH_NEGATIVE
NAUKRI | Mar 2022 | PAT CAGR | TURNAROUND
NAUKRI | Mar 2023 | PAT CAGR | DECLINE_TO_LOSS
PNB | Mar 2018 | PAT CAGR | DECLINE_TO_LOSS
