sector,companies,status,file,file_size_kb
Communication Services,2,GENERATED,C:\Users\MANOJ\Desktop\project\reports\sector\communication_services_report.pdf,4.6
Consumer Discretionary,14,GENERATED,C:\Users\MANOJ\Desktop\project\reports\sector\consumer_discretionary_report.pdf,6.5
Consumer Staples,7,GENERATED,C:\Users\MANOJ\Desktop\project\reports\sector\consumer_staples_report.pdf,5.4
Energy,6,GENERATED,C:\Users\MANOJ\Desktop\project\reports\sector\energy_report.pdf,5.1
Financials,23,GENERATED,C:\Users\MANOJ\Desktop\project\reports\sector\financials_report.pdf,7.7
Healthcare,6,GENERATED,C:\Users\MANOJ\Desktop\project\reports\sector\healthcare_report.pdf,5.1
Industrials,10,GENERATED,C:\Users\MANOJ\Desktop\project\reports\sector\industrials_report.pdf,6.0
Information Technology,5,GENERATED,C:\Users\MANOJ\Desktop\project\reports\sector\information_technology_report.pdf,4.9
Materials,9,GENERATED,C:\Users\MANOJ\Desktop\project\reports\sector\materials_report.pdf,5.7
Real Estate,2,GENERATED,C:\Users\MANOJ\Desktop\project\reports\sector\real_estate_report.pdf,4.4
Utilities,8,GENERATED,C:\Users\MANOJ\Desktop\project\reports\sector\utilities_report.pdf,5.4
