company_id,status,available_years,file_size_kb,message
ABB,GENERATED,12,154.3,OK
ADANIENSOL,GENERATED,11,159.3,OK
ADANIENT,GENERATED,12,159.3,OK
ADANIGREEN,GENERATED,8,148.6,OK
ADANIPORTS,GENERATED,12,158.0,OK
ADANIPOWER,GENERATED,12,160.1,OK
AMBUJACEM,GENERATED,12,164.6,OK
APOLLOHOSP,GENERATED,12,169.8,OK
ASIANPAINT,GENERATED,12,164.4,OK
ATGL,GENERATED,7,78.6,OK
AXISBANK,GENERATED,12,162.7,OK
BAJAJ-AUTO,GENERATED,12,159.7,OK
BAJAJFINSV,GENERATED,12,154.4,OK
BAJAJHLDNG,GENERATED,12,155.4,OK
BAJFINANCE,GENERATED,10,161.8,OK
BANKBARODA,GENERATED,12,167.2,OK
BEL,GENERATED,12,165.7,OK
BHARTIARTL,GENERATED,12,157.6,OK
BHEL,GENERATED,12,163.0,OK
BOSCHLTD,GENERATED,12,169.1,OK
BPCL,GENERATED,12,163.4,OK
BRITANNIA,GENERATED,12,162.6,OK
CANBK,GENERATED,12,162.5,OK
CHOLAFIN,GENERATED,12,168.5,OK
CIPLA,GENERATED,12,160.0,OK
COALINDIA,GENERATED,12,162.8,OK
DABUR,GENERATED,12,159.3,OK
DIVISLAB,GENERATED,12,160.5,OK
DLF,GENERATED,12,158.5,OK
DMART,GENERATED,12,156.3,OK
DRREDDY,GENERATED,12,157.5,OK
EICHERMOT,GENERATED,12,155.1,OK
GAIL,GENERATED,12,166.0,OK
GODREJCP,GENERATED,12,163.1,OK
GRASIM,GENERATED,12,158.4,OK
HAL,GENERATED,12,154.7,OK
HAVELLS,GENERATED,12,164.1,OK
HCLTECH,GENERATED,12,152.5,OK
HDFCBANK,EXISTING_VALID,12,160.6,Existing PDF already meets size threshold
HDFCLIFE,GENERATED,12,156.5,OK
HEROMOTOCO,GENERATED,11,157.3,OK
HINDALCO,GENERATED,12,158.7,OK
HINDUNILVR,GENERATED,12,155.2,OK
ICICIBANK,GENERATED,12,160.3,OK
ICICIGI,GENERATED,12,166.6,OK
ICICIPRULI,GENERATED,12,156.7,OK
INDIGO,GENERATED,12,154.6,OK
INDUSINDBK,GENERATED,12,160.3,OK
INFY,GENERATED,12,157.6,OK
IOC,GENERATED,12,162.9,OK
IRCTC,GENERATED,10,156.5,OK
IRFC,GENERATED,12,159.2,OK
ITC,GENERATED,12,162.6,OK
JINDALSTEL,GENERATED,12,156.6,OK
JIOFIN,SKIPPED,2,,Fewer than 3 years of Profit & Loss data
JSWENERGY,GENERATED,12,160.2,OK
JSWSTEEL,GENERATED,12,165.3,OK
KOTAKBANK,GENERATED,12,162.6,OK
LICI,GENERATED,6,146.1,OK
LODHA,GENERATED,12,162.6,OK
LT,GENERATED,12,151.9,OK
LTIM,GENERATED,12,159.3,OK
M&M,GENERATED,12,154.6,OK
MARUTI,GENERATED,12,159.5,OK
MOTHERSON,GENERATED,12,153.7,OK
NAUKRI,GENERATED,12,153.8,OK
NESTLEIND,GENERATED,12,151.7,OK
NHPC,GENERATED,12,165.6,OK
NTPC,GENERATED,12,169.4,OK
ONGC,GENERATED,12,166.5,OK
PFC,GENERATED,12,162.9,OK
PIDILITIND,GENERATED,12,158.5,OK
PNB,GENERATED,12,152.3,OK
POWERGRID,GENERATED,12,153.0,OK
RECLTD,GENERATED,12,159.9,OK
RELIANCE,EXISTING_VALID,12,165.5,Existing PDF already meets size threshold
SBILIFE,GENERATED,12,151.7,OK
SBIN,GENERATED,12,70.0,OK
SHREECEM,GENERATED,12,172.9,OK
SHRIRAMFIN,GENERATED,12,159.8,OK
SIEMENS,GENERATED,12,159.7,OK
SUNPHARMA,EXISTING_VALID,12,160.7,Existing PDF already meets size threshold
TATACONSUM,GENERATED,12,160.9,OK
TATAMOTORS,GENERATED,12,157.5,OK
TATAPOWER,GENERATED,12,161.1,OK
TATASTEEL,EXISTING_VALID,12,156.3,Existing PDF already meets size threshold
TCS,EXISTING_VALID,12,150.1,Existing PDF already meets size threshold
TECHM,GENERATED,12,160.6,OK
TITAN,GENERATED,12,156.4,OK
TORNTPHARM,GENERATED,12,164.4,OK
TRENT,GENERATED,12,147.9,OK
TVSMOTOR,GENERATED,12,156.5,OK
